step,action_direction,action_tp_mult,position,balance,equity,max_drawdown_pct
3194,0.20409822,0.038892627,0,10452.372542441652,10452.372542441652,0.8021
3195,0.2201662,0.039679885,0,10452.372542441652,10452.372542441652,0.8021
3307,-0.21843201,-0.06537545,0,10452.372542441652,10452.372542441652,0.8021
3380,-0.29579735,-0.11590499,-1,10452.272542441651,10447.828499618203,0.8452
3382,-0.21631557,0.14058006,0,10568.776841725561,10568.776841725561,0.0
3426,-0.22209579,-0.07806808,0,10568.776841725561,10568.776841725561,0.0
3547,0.32553232,-0.02556616,1,10568.67684172556,10564.541177918354,0.0401
3548,0.32974625,0.008700967,1,10568.67684172556,10557.372693985866,0.1079
3570,0.22638595,-0.06927973,0,10499.867273428554,10499.867273428554,0.652
3620,0.2151159,0.0388937,0,10499.867273428554,10499.867273428554,0.652
3642,0.24414897,0.022919893,0,10499.867273428554,10499.867273428554,0.652
3643,0.2713368,-0.036393583,1,10499.767273428553,10496.012707581724,0.6885
3644,0.2905314,-0.027332008,0,10611.653579738504,10611.653579738504,0.0
3645,0.2160523,-0.013942778,0,10611.653579738504,10611.653579738504,0.0
3856,0.32906997,-0.012736261,1,10611.553579738504,10607.322102099606,0.0408
3858,0.46122646,-0.029037893,1,10611.553579738504,10708.877565433086,0.0
3859,0.33643365,-0.1332447,1,10611.553579738504,10688.566472766388,0.1897
3860,0.39735568,-0.07605463,1,10611.553579738504,10707.18497437753,0.0158
3861,0.33552194,0.12924445,1,10611.553579738504,10669.101675627477,0.3714
3862,0.31816852,0.108484745,1,10611.553579738504,10671.358463701552,0.3504
4024,0.2104677,-0.044353187,0,10750.343147122581,10750.343147122581,0.0
4026,0.2658316,-0.05533898,1,10750.243147122581,10745.283362248136,0.0471
4027,0.28913808,-0.06882489,1,10750.243147122581,10717.177914626302,0.3085
4028,-0.31620127,0.12825167,1,10750.243147122581,10743.630100623324,0.0624
4029,0.28300548,-0.01572156,1,10750.243147122581,10743.630100623324,0.0624
4104,0.21213257,0.030727386,0,10693.087530950437,10693.087530950437,0.8002
4160,0.22316289,0.033409953,0,10693.087530950437,10693.087530950437,0.8002
4161,0.23492861,0.033851385,0,10693.087530950437,10693.087530950437,0.8002
4209,0.2596104,0.03568864,1,10692.987530950437,10690.716080546725,0.8222
4383,0.32898414,-0.007455826,1,10637.366793225472,10633.625855813343,1.3518
4384,0.3916707,0.013359904,1,10637.366793225472,10597.9622524844,1.6826
4386,0.3941772,0.011946082,1,10567.275635643347,10562.709006096246,2.0097
4387,0.37494206,0.013023615,1,10567.275635643347,10591.630993227876,1.7414
4400,0.2299639,0.043100595,0,10483.967265191259,10483.967265191259,2.7402
4401,0.22551453,0.04248774,0,10483.967265191259,10483.967265191259,2.7402
4552,-0.20382786,-0.08238208,0,10483.967265191259,10483.967265191259,2.7402
4553,-0.20778614,-0.12629837,0,10483.967265191259,10483.967265191259,2.7402
4560,0.25008464,-0.10107666,1,10483.867265191258,10479.991203068357,2.7771
4651,0.21911645,0.020781994,0,10431.429681899994,10431.429681899994,3.2276
4677,0.31785345,-0.022248626,1,10431.329681899993,10427.422331488147,3.2647
4678,0.25179195,-0.032602906,1,10431.329681899993,10448.782513739576,3.0666
4845,0.272815,0.04348564,1,10562.38093853232,10559.36580821034,2.0407
4846,0.39567876,0.0071384907,1,10562.38093853232,10554.7426083833,2.0836
4848,0.28027153,-0.2892921,1,10562.38093853232,10563.989008037379,1.9978
4849,0.20426571,-0.3873976,1,10562.38093853232,10570.01926868134,1.9419
4866,0.31285834,-0.007730305,1,10680.051230617664,10674.826445600174,0.9696
4867,0.34441805,-0.021259546,1,10680.051230617664,10730.557485786749,0.4526
4869,0.23818421,-0.23132318,1,10680.051230617664,10770.962489922014,0.0777
4872,0.22938931,0.08444798,0,10613.223742251084,10613.223742251084,1.6267
4973,0.27244794,-0.073103726,1,10613.123742251084,10608.60905298165,1.6695
4974,0.3317964,-0.06704748,0,10555.292722561664,10555.292722561664,2.1637
4975,0.34140325,-0.06454009,1,10555.192722561664,10549.924651894014,2.2134
4976,0.3936634,-0.050263703,1,10555.192722561664,10555.895131984016,2.1581
4992,-0.23216903,-0.15012503,0,10483.120498618053,10483.120498618053,2.8326
5017,0.33813608,-0.041999042,1,10483.020498618052,10478.254868270646,2.8777
5018,0.33949077,-0.04690987,0,10412.126073830901,10412.126073830901,3.4907
5019,0.25562978,-0.032394826,1,10412.0260738309,10409.620968882882,3.5139
5029,0.20829761,0.03706932,0,10516.767579408399,10516.767579408399,2.5208
5078,0.20618606,0.028970003,0,10516.767579408399,10516.767579408399,2.5208
5142,0.24988616,0.019715428,0,10516.767579408399,10516.767579408399,2.5208
5143,0.3096347,-8.100271e-05,1,10516.667579408399,10510.79523278203,2.5761
5144,0.35031724,-0.0012552142,1,10516.667579408399,10487.697336051642,2.7902
5157,0.22696376,-0.07613385,0,10646.916544818952,10646.916544818952,1.3144
5158,0.2728467,-0.07548213,1,10646.816544818952,10642.833228027834,1.3523
5160,0.42538643,-0.07238215,0,10588.717024194199,10588.717024194199,1.8539
5161,0.27784896,-0.111680746,1,10588.617024194198,10582.961798194949,1.9072
5163,0.21623659,-0.18650341,1,10588.617024194198,10570.897316063218,2.019
5164,-0.21591711,-0.58633846,0,10529.775744154378,10529.775744154378,2.4002
5172,-0.20001674,-0.071980834,0,10529.775744154378,10529.775744154378,2.4002
5231,0.23411322,0.04308045,0,10529.775744154378,10529.775744154378,2.4002
5232,0.24150872,0.041590214,0,10529.775744154378,10529.775744154378,2.4002
5233,0.25042474,0.040785313,1,10529.675744154378,10527.51644432948,2.4211
5234,0.26056778,0.038479567,1,10529.675744154378,10562.06524152784,2.1009
5240,0.20444655,-0.020596862,1,10529.675744154378,10588.120792748268,1.8594
5279,-0.22778207,-0.13139361,0,10476.937416526287,10476.937416526287,2.89
5281,-0.21938539,-0.049372375,0,10476.937416526287,10476.937416526287,2.89
5282,-0.2029388,-0.089215994,0,10476.937416526287,10476.937416526287,2.89
5285,-0.22297853,-0.08305633,0,10476.937416526287,10476.937416526287,2.89
5286,-0.21735561,-0.1967749,0,10476.937416526287,10476.937416526287,2.89
5289,0.21295643,-0.20148712,0,10476.937416526287,10476.937416526287,2.89
5292,-0.28035736,-0.104145825,-1,10476.837416526287,10470.584703196393,2.9488
5294,-0.40366197,-0.7155429,-1,10476.837416526287,10445.573849876817,3.1807
5295,-0.38036132,-0.6828299,-1,10476.837416526287,10466.416227643134,2.9875
5296,-0.34561616,-0.7528142,0,10418.091686050657,10418.091686050657,3.4354
5299,-0.2268557,-0.0821448,0,10418.091686050657,10418.091686050657,3.4354
5307,0.22107601,-0.0084629655,0,10418.091686050657,10418.091686050657,3.4354
5308,0.27978134,-0.009591281,1,10417.991686050656,10414.433967885287,3.4693
5309,0.23460162,0.0072342157,0,10359.695932683802,10359.695932683802,3.9767
5330,-0.2587605,-0.021746278,-1,10359.595932683802,10352.654590554252,4.0419
5331,-0.36285472,-0.056965172,-1,10359.595932683802,10398.467448609288,3.6173
5332,-0.60651165,-0.40254956,-1,10359.595932683802,10428.08384169537,3.3428
5333,-0.48776734,-0.74425036,-1,10359.595932683802,10436.876208392798,3.2613
5334,-0.34430087,-0.7381405,0,10305.982328235556,10305.982328235556,4.4745
5335,-0.2524531,-0.082239866,-1,10305.882328235555,10302.19808558546,4.5096
5344,0.26582897,-0.034960866,1,10253.746786806098,10251.473056537907,4.9798
5345,0.27874506,0.027426362,1,10253.746786806098,10285.730592578648,4.6622
5350,-0.40756398,-0.4095335,1,10253.746786806098,10288.004322846838,4.6412
5364,-0.2895398,-0.15917188,-1,10199.131396804476,10195.118795394445,5.5021
5365,-0.22130024,-0.15332097,-1,10199.131396804476,10237.652370340787,5.1079
5370,0.46332443,0.16087782,-1,10199.131396804476,10283.128519654492,4.6864
5371,0.25676048,0.0045717955,0,10307.853782061671,10307.853782061671,4.4572
5375,-0.33251858,-0.011966169,-1,10307.75378206167,10300.208854343973,4.528
5376,-0.27217257,0.04458797,0,10239.202724512284,10239.202724512284,5.0935
5398,0.37092447,0.0017157793,1,10239.102724512284,10234.936760118238,5.133
5399,0.4004767,-0.007146716,1,10239.102724512284,10245.768267542759,5.0326
5406,0.21772647,-0.070604146,1,10239.102724512284,10266.32035855339,4.8422
5423,0.3048029,-0.054622352,1,10391.051889011631,10386.423335312795,3.7289
5424,0.2895999,-0.01442343,1,10391.051889011631,10383.954773340083,3.7518
5460,0.23042858,-0.09040362,0,10514.281959605798,10514.281959605798,2.5438
5461,0.31012404,-0.051829696,1,10514.181959605798,10509.992582823788,2.5836
5462,0.35845542,-0.03468132,1,10514.181959605798,10529.822299591973,2.3998
5478,-0.23016596,-0.0008549094,0,10448.967327699163,10448.967327699163,3.1492
5499,0.34918737,0.021818638,1,10448.867327699163,10441.273512364098,3.2205
5500,0.5419241,0.059610724,1,10448.867327699163,10409.885742312488,3.5115
5501,0.38981247,-0.47248816,1,10448.867327699163,10445.82980156514,3.1783
5503,0.23428571,-0.048721075,0,10596.405396586828,10596.405396586828,1.7826
5508,0.20617211,0.004697442,0,10596.405396586828,10596.405396586828,1.7826
5520,0.20319057,-0.07717776,0,10596.405396586828,10596.405396586828,1.7826
5546,0.2447207,0.03229201,0,10596.405396586828,10596.405396586828,1.7826
5547,0.25368714,0.032415867,1,10596.305396586828,10593.777335319195,1.807
5548,0.2531854,0.032431245,1,10596.305396586828,10608.777165507146,1.6679
5578,0.218104,0.02697289,0,10705.575057562444,10705.575057562444,0.7707
5579,0.31219125,0.038148522,1,10705.475057562444,10701.8932293624,0.8049
5580,0.36340785,0.02663815,1,10705.475057562444,10696.401092789,0.8558
5676,0.36393583,-0.033959568,1,10638.531320819715,10632.66498884888,1.4465
5677,0.3133086,-0.011176288,1,10638.531320819715,10609.981838561649,1.6568
5903,0.2613603,-0.04434216,1,10560.995738804675,10557.840307589233,2.1401
5904,0.37846828,-0.032236338,1,10560.995738804675,10557.629945508204,2.142
5910,0.20620644,-0.06607926,1,10560.995738804675,10553.212341806584,2.183
5918,-0.25877202,-0.10923231,-1,10505.690718397364,10498.129036618977,2.6935
5919,-0.26405615,-0.03147161,-1,10505.690718397364,10514.260624412875,2.544
5920,-0.37873888,-0.7150234,-1,10505.690718397364,10483.005673062202,2.8337
5921,-0.5307791,-0.67814136,0,10451.318625609903,10451.318625609903,3.1274
5941,0.28242278,-0.070302546,1,10451.218625609903,10446.906590834493,3.1683
5942,0.35575604,-0.03282392,1,10451.218625609903,10427.0712308676,3.3522
5952,0.3484491,-0.044642746,1,10392.08481618463,10387.520344469855,3.7188
5953,0.41075706,-0.021669209,1,10392.08481618463,10373.826929325523,3.8457
5958,0.5324669,-0.5331097,1,10392.08481618463,10410.342703043736,3.5072
5959,0.31025958,-0.3441561,1,10392.08481618463,10434.686552189209,3.2816
5960,0.20069242,-0.10680604,1,10392.08481618463,10435.295148417845,3.2759
5969,0.3188796,-0.05300343,1,10319.561864976844,10315.640995556087,4.385
5970,0.31094348,-0.06676626,1,10319.561864976844,10312.50430001948,4.4141
5973,-0.21882159,-0.13550681,1,10319.561864976844,10311.458734840611,4.4238
6001,0.32074523,-0.017718077,1,10447.602653431588,10443.938395866357,3.1958
6027,0.28363264,-0.0063281655,1,10380.481637678942,10377.734261255455,3.8095
6063,0.28328717,0.033976912,1,10321.496203002196,10318.897113444033,4.3548
6064,0.29344177,0.02471912,1,10321.496203002196,10328.946926402265,4.2617
6070,0.26999044,0.02809918,1,10262.916687943509,10260.219619803578,4.8987
6071,0.26011896,-0.0085145235,0,10207.498359258729,10207.498359258729,5.3874
6078,0.23506832,0.02503872,0,10207.498359258729,10207.498359258729,5.3874
6079,0.23288298,0.037485838,0,10207.498359258729,10207.498359258729,5.3874
6080,0.20373094,0.03645885,0,10207.498359258729,10207.498359258729,5.3874
6081,0.23833764,0.03938949,0,10207.498359258729,10207.498359258729,5.3874
6104,0.21496117,-0.061618805,0,10207.498359258729,10207.498359258729,5.3874
6105,0.24817967,-0.015774906,0,10207.498359258729,10207.498359258729,5.3874
6106,0.2789116,0.010503888,1,10207.398359258728,10201.771368043022,5.4405
6107,0.27868044,0.046715617,1,10207.398359258728,10223.904200158135,5.2353
6109,-0.23515677,-0.48830473,1,10207.398359258728,10246.037032273245,5.0302
6110,-0.57369375,-0.7099698,1,10207.398359258728,10251.664023488951,4.978
6111,-0.4650513,-0.5346384,0,10150.458567195039,10150.458567195039,5.9161
6147,-0.29868305,0.11777294,-1,10150.358567195039,10144.119746242366,5.9748
6148,-0.43251884,-0.08177143,-1,10150.358567195039,10159.508837925629,5.8322
6149,-0.3213688,-0.217107,0,10089.723169269286,10089.723169269286,6.479
6151,-0.22013938,-0.01181221,0,10089.723169269286,10089.723169269286,6.479
6153,-0.28629255,0.12038541,-1,10089.623169269285,10084.770300093443,6.5249
6154,-0.45640475,-0.07680577,-1,10089.623169269285,10053.064888144603,6.8188
6155,-0.5693343,-0.37527305,-1,10089.623169269285,10056.62365887355,6.7858
6157,-0.2114538,-0.5637996,-1,10089.623169269285,10070.535217177638,6.6569
6159,0.35188353,-0.38300544,-1,10089.623169269285,10049.182592803927,6.8548
6160,0.3181764,-0.33545327,-1,10089.623169269285,10057.594232708723,6.7768
6162,-0.45874846,-0.046141505,-1,10031.750917175914,10022.794103523967,7.0994
6163,0.21236217,-0.32418454,-1,10031.750917175914,10027.571070805001,7.0551
6164,-0.59936553,-0.13254845,-1,10031.750917175914,10040.11060991773,6.9389
6165,-0.49255264,-0.019591272,-1,10031.750917175914,10045.484698108901,6.8891
6167,0.4849143,-0.24170369,-1,10031.750917175914,10022.196982613837,7.1049
6168,0.6838207,0.010206938,-1,10031.750917175914,10033.542279906302,6.9998
6169,0.5688224,-0.123396635,-1,10031.750917175914,10055.635753581108,6.795
6170,0.5648017,-0.13220417,-1,10031.750917175914,10084.29755726734,6.5293
6171,0.42343175,-0.15180635,-1,10031.750917175914,10079.5205899863,6.5736
6172,0.22465003,-0.06239283,-1,10031.750917175914,10102.80830548137,6.3577
6208,0.22528851,0.04223895,0,10211.58781059091,10211.58781059091,5.3495
6209,0.27222955,0.035804987,1,10211.48781059091,10209.22554298656,5.3714
6213,-0.20521367,-0.05611366,1,10211.48781059091,10216.766435001064,5.3015
6215,0.4687202,0.14000535,1,10211.48781059091,10180.117699810573,5.6412
6216,0.25531828,-0.03679681,0,10155.88989103826,10155.88989103826,5.8657
6233,0.2091788,-0.0214445,0,10155.88989103826,10155.88989103826,5.8657
6234,0.42999816,-0.00085031986,1,10155.78989103826,10150.928651008238,5.9117
6235,0.21062684,-0.12858874,1,10155.78989103826,10090.649274635973,6.4704
6238,-0.2454223,-0.07576972,1,10155.78989103826,10291.25644654152,4.611
6294,-0.22723234,0.022109509,0,10330.396182276168,10330.396182276168,4.2482
6295,-0.23913676,0.052247763,0,10330.396182276168,10330.396182276168,4.2482
6297,-0.35222137,-0.14932448,-1,10330.296182276168,10320.756817462241,4.3376
6298,-0.35875607,-0.034665167,-1,10330.296182276168,10341.107462398626,4.149
6299,-0.6981007,-0.647225,0,10464.973034123766,10464.973034123766,3.0009
6317,0.35672498,-0.024360716,1,10464.873034123766,10459.66576327213,3.05
6318,0.3386798,-0.010039628,1,10464.873034123766,10472.163213316058,2.9342
6319,-0.20609546,-0.48925555,1,10464.873034123766,10472.857516096276,2.9278
6321,-0.33787674,-0.3039533,0,10612.378896708573,10612.378896708573,1.6346
6326,0.2623415,0.033323646,1,10612.278896708573,10609.41925301988,1.662
6327,0.31845188,0.0033465624,1,10612.278896708573,10614.757254572107,1.6125
6389,-0.20478296,-0.11867988,0,10556.597548884454,10556.597548884454,2.1516
6573,-0.21882886,-0.08957952,0,10556.597548884454,10556.597548884454,2.1516
6576,-0.22877133,-0.10927975,0,10556.597548884454,10556.597548884454,2.1516
6589,-0.20533323,-0.14970046,0,10556.597548884454,10556.597548884454,2.1516
6689,0.22106647,-0.012253821,0,10556.597548884454,10556.597548884454,2.1516
6690,0.2750498,-0.03707242,1,10556.497548884454,10552.396984514238,2.1905
6691,0.27313304,-0.058347404,1,10556.497548884454,10552.396984514238,2.1905
6693,0.31165695,-0.44515002,0,10498.425746803397,10498.425746803397,2.6908
6696,-0.24151665,-0.10410303,0,10498.425746803397,10498.425746803397,2.6908
6759,-0.20843196,-0.15066385,0,10498.425746803397,10498.425746803397,2.6908
6760,-0.24272078,-0.132613,0,10498.425746803397,10498.425746803397,2.6908
6761,-0.23337471,-0.09134048,0,10498.425746803397,10498.425746803397,2.6908
6762,-0.20610034,-0.06351042,0,10498.425746803397,10498.425746803397,2.6908
6772,0.2630067,0.005634308,1,10498.325746803397,10495.701430003295,2.716
6773,0.21866369,0.0052939653,1,10498.325746803397,10483.279663816145,2.8312
6776,-0.24914825,-0.0324378,1,10498.325746803397,10509.347877363825,2.5895
6799,0.2132448,-0.022381306,0,10443.102623281253,10443.102623281253,3.2036
6800,0.23516238,-0.019140184,0,10443.102623281253,10443.102623281253,3.2036
6801,0.24309301,-0.025424123,0,10443.102623281253,10443.102623281253,3.2036
6802,0.22357321,-0.021353126,0,10443.102623281253,10443.102623281253,3.2036
6803,0.2155323,-0.019840062,0,10443.102623281253,10443.102623281253,3.2036
6804,0.22396278,-0.018134296,0,10443.102623281253,10443.102623281253,3.2036
6805,0.21924925,-0.034707725,0,10443.102623281253,10443.102623281253,3.2036
6806,0.24366474,-0.040467262,0,10443.102623281253,10443.102623281253,3.2036
6807,0.2529149,-0.04230863,1,10443.002623281252,10438.16269809927,3.2494
6808,0.25287116,-0.04260093,1,10443.002623281252,10417.189688977342,3.4438
6810,0.2728634,-0.026250124,1,10390.078297009326,10384.771961509648,3.7442
6811,0.2688688,-0.021826565,1,10390.078297009326,10438.542827906389,3.2458
6817,0.23998594,-0.035731375,0,10501.993832979297,10501.993832979297,2.6577
6818,0.5230926,0.006144762,1,10501.893832979296,10489.555455811886,2.773
6819,0.52735066,0.050523758,1,10501.893832979296,10405.654491073481,3.5507
6820,0.27295303,-0.495062,0,10392.023522012336,10392.023522012336,3.677
6829,-0.23200029,-0.099807024,0,10392.023522012336,10392.023522012336,3.677
6830,-0.2636987,-0.104595125,-1,10391.923522012336,10388.039105925898,3.7139
6832,-0.27122724,-0.04420793,-1,10391.923522012336,10362.660920827835,3.9492
6833,-0.2613902,0.116527796,-1,10391.923522012336,10368.358064421278,3.8964
6836,0.22879624,0.094684124,-1,10391.923522012336,10401.246120619788,3.5915
6865,0.2002511,-0.021114886,0,10337.116260754638,10337.116260754638,4.1859
